OUT_OF_74,INDEX1,MATCH,TEAM,BatsMan,How_out,Fielder,Bowler,Runs,Balls,Fours,Sixers,OUT_NTOUT
1,1,CSK_RCB_1,RCB,Virat Kohli,Ct,Rachin R,Mustafizur R,21,20,0,1,1
1,2,CSK_RCB_1,RCB,Faf Du Plessis,Ct,Rachin R,Mustafizur R,35,23,8,0,1
1,3,CSK_RCB_1,RCB,Rajat Patidar,Ctw,M S D,Mustafizur R,0,3,0,0,1
1,4,CSK_RCB_1,RCB,Glenn Maxwell,Ctw,M S D,Deepak C,0,1,0,0,1
1,5,CSK_RCB_1,RCB,Cameron Green,B,,Mustafizur R,18,22,1,0,1
1,6,CSK_RCB_1,RCB,Anuj Rawat,Ro,M S D,,48,25,4,3,1
1,7,CSK_RCB_1,RCB,Dinesh Karthik,,,,38,26,3,2,0
1,8,CSK_RCB_1,CSK,Ruturaj Gaikwad,Ct,Cameron G,Yash D,15,15,3,0,1
1,9,CSK_RCB_1,CSK,Rachin Ravindra,Ct,Rajat P,Karn S,37,15,3,3,1
1,10,CSK_RCB_1,CSK,Ajinkya Rahane,Ct,Glenn M,Cameron G,27,19,0,2,1
1,11,CSK_RCB_1,CSK,Daryl Mitchell,Ct,Rajat P,Cameron G,22,18,0,2,1
1,12,CSK_RCB_1,CSK,Shivam Dube,,,,34,28,4,1,0
1,13,CSK_RCB_1,CSK,Ravindra Jadeja,,,,25,17,0,1,0
2,14,DC_PBKS_2,DC,David Warner,Ctw,Jitesh S,Harshal P,29,21,3,2,1
2,15,DC_PBKS_2,DC,Mitchell Marsh,Ct,Rahul C,Arshdeep S,20,12,2,2,1
2,16,DC_PBKS_2,DC,Shai Hope,Ct,Harpreet B,Kagiso R,33,25,2,2,1
2,17,DC_PBKS_2,DC,Rishabh Pant,Ct,Jonny B,Harshal P,18,13,2,0,1
2,18,DC_PBKS_2,DC,Ricky Bhui,Ctw,Jitesh S,Harpreet B,3,7,0,0,1
2,19,DC_PBKS_2,DC,Tristan Stubbs,Ct,Shashank S,Rahul C,5,8,0,0,1
2,20,DC_PBKS_2,DC,Axar Patel,Ro,Jitesh S,Substitute,21,13,2,1,1
2,21,DC_PBKS_2,DC,Sumit Kumar,Ctw,Jitesh S,Arshdeep S,2,9,0,0,1
2,22,DC_PBKS_2,DC,Abishek Porel,,,,32,10,4,2,0
2,23,DC_PBKS_2,DC,Kuldeep Yadav,Ro,Harshal P,Shashank S,1,2,0,0,1
2,24,DC_PBKS_2,PBKS,Shikhar Dhawan,B,,Ishant S,22,16,4,0,1
2,25,DC_PBKS_2,PBKS,Jonny Bairstow,Ro,,Ishant S,9,3,2,0,1
2,26,DC_PBKS_2,PBKS,Prabhsimran Singh,Ct,David W,Kuldeep Y,26,17,5,0,1
2,27,DC_PBKS_2,PBKS,Sam Curran,B,,Khaleel A,63,47,6,1,1
2,28,DC_PBKS_2,PBKS,Jitesh Sharma,St,Rishabh P,Kuldeep Y,9,9,1,0,1
2,29,DC_PBKS_2,PBKS,Liam Livingstone,,,,38,21,2,3,0
2,30,DC_PBKS_2,PBKS,Shashank Singh,Ctw,Rishabh P,Khaleel A,0,1,0,0,1
2,31,DC_PBKS_2,PBKS,Harpreet Brar,,,,2,2,0,0,0
3,32,KKR_SRH_3,KKR,Philip Salt,Ct,Marco J,Mayank M,54,40,3,3,1
3,33,KKR_SRH_3,KKR,Sunil Narine,Ro,,Shahbaz A,2,4,0,0,1
3,34,KKR_SRH_3,KKR,Venkatesh Iyer,Ct,Marco J,T N,7,5,1,0,1
3,35,KKR_SRH_3,KKR,Shreyas Iyer,Ct,Pat C,T N,0,2,0,0,1
3,36,KKR_SRH_3,KKR,Nitish Rana,Ct,Rahul T,Mayank M,9,11,1,0,1
3,37,KKR_SRH_3,KKR,Ramandeep Singh,Ct,Mayank M,Pat C,35,17,1,4,1
3,38,KKR_SRH_3,KKR,Rinku Singh,Ct,Aiden M,T N,23,15,3,0,1
3,39,KKR_SRH_3,KKR,Andre Russell,,,,64,25,3,7,0
3,40,KKR_SRH_3,KKR,Mitchell Starc,,,,6,3,1,0,0
3,41,KKR_SRH_3,SRH,Mayank Agarwal,Ct,Rinku S,Harshit R,32,21,4,1,1
3,42,KKR_SRH_3,SRH,Abhishek Sharma,Ct,Varun C,Andre R,32,19,4,2,1
3,43,KKR_SRH_3,SRH,Rahul Tripathi,Ct,Harshit R,Sunil N,20,20,0,1,1
3,44,KKR_SRH_3,SRH,Aiden Markram,Ct,Rinku S,Varun C,18,13,2,0,1
3,45,KKR_SRH_3,SRH,Heinrich Klaasen,Ct,Suyash S,Harshit R,63,29,0,8,1
3,46,KKR_SRH_3,SRH,Abdul Samad,Ct,Venkatesh I,Andre R,15,11,1,1,1
3,47,KKR_SRH_3,SRH,Shahbaz Ahmed,Ct,Shreyas I,Harshit R,16,5,1,2,1
3,48,KKR_SRH_3,SRH,Marco Jansen,,,,1,1,0,0,0
3,49,KKR_SRH_3,SRH,Pat Cummins,,,,0,1,0,0,0
4,50,LSG_RR_4,RR,Yashasvi Jaiswal,Ct,Krunal P,Mohsin K,24,12,3,1,1
4,51,LSG_RR_4,RR,Jos Buttler,Ctw,K L R,Naveen U,11,9,2,0,1
4,52,LSG_RR_4,RR,Sanju Samson,,,,82,52,3,6,0
4,53,LSG_RR_4,RR,Riyan Parag,Ct,Deepak H,Naveen U,43,29,1,3,1
4,54,LSG_RR_4,RR,Shimron Hetmyer,Ctw,K L R,Ravi B,5,7,0,0,1
4,55,LSG_RR_4,RR,Dhruv Jurel,,,,20,12,1,1,0
4,56,LSG_RR_4,LSG,Quinton De Kock,Ct,Nandre B,Trent B,4,5,1,0,1
4,57,LSG_RR_4,LSG,K L Rahul,Ct,Dhruv J,Sandeep S,58,44,4,2,1
4,58,LSG_RR_4,LSG,Devdutt Padikkal,B,,Trent B,0,3,0,0,1
4,59,LSG_RR_4,LSG,Ayush Badoni,Ct,Jos B,Nandre B,1,5,0,0,1
4,60,LSG_RR_4,LSG,Deepak Hooda,Ct,Dhruv J,Yuzvendra C,26,13,2,2,1
4,61,LSG_RR_4,LSG,Nicholas Pooran,,,,64,41,4,4,0
4,62,LSG_RR_4,LSG,Marcus Stoinis,Ct,Dhruv J,Ravichandran A,3,4,0,0,1
4,63,LSG_RR_4,LSG,Krunal Pandya,,,,3,5,0,0,0
5,64,GT_MI_5,GT,Shubman Gill,Ct,Rohit S,Piyush C,31,22,3,1,1
5,65,GT_MI_5,GT,Wriddhiman Saha,B,,Jasprit B,19,15,4,0,1
5,66,GT_MI_5,GT,Sai Sudharsan,Ct,Tilak V,Jasprit B,45,39,3,1,1
5,67,GT_MI_5,GT,Azmatullah Omarzai,Ct,Tilak V,Gerald C,17,11,1,1,1
5,68,GT_MI_5,GT,David Miller,Ct,Hardik P,Jasprit B,12,11,1,0,1
5,69,GT_MI_5,GT,Vijay Shankar,,,,6,5,0,0,0
5,70,GT_MI_5,GT,Rahul Tewatia,Ct,Naman D,Gerald C,22,15,2,1,1
5,71,GT_MI_5,GT,Rashid Khan,,,,4,3,0,0,0
5,72,GT_MI_5,MI,Rohit Sharma,Lbw,,Ravisrinivasan  Sai K,43,29,7,1,1
5,73,GT_MI_5,MI,Ishan Kishan,Ctw,Wriddhiman S,Azmatullah O,0,4,0,0,1
5,74,GT_MI_5,MI,Naman Dhir,Lbw,,Azmatullah O,20,10,3,1,1
5,75,GT_MI_5,MI,Dewald Brevis,Ct,Mohit S,Mohit S,46,38,2,3,1
5,76,GT_MI_5,MI,Tilak Varma,Ct,Substitute,Spencer J,25,19,1,1,1
5,77,GT_MI_5,MI,Tim David,Ct,David M,Mohit S,11,10,1,0,1
5,78,GT_MI_5,MI,Hardik Pandya,Ct,Rahul T,Umesh Y,11,4,1,1,1
5,79,GT_MI_5,MI,Gerald Coetzee,Ct,Spencer J,Spencer J,1,3,0,0,1
5,80,GT_MI_5,MI,Shams Mulani,,,,1,1,0,0,0
5,81,GT_MI_5,MI,Piyush Chawla,Ct,Rashid K,Umesh Y,0,1,0,0,1
5,82,GT_MI_5,MI,Jasprit Bumrah,,,,1,1,0,0,0
6,83,PBKS_RCB_6,PBKS,Shikhar Dhawan,Ct,Virat K,Glenn M,45,37,5,1,1
6,84,PBKS_RCB_6,PBKS,Jonny Bairstow,Ct,Virat K,Mohammed S,8,6,2,0,1
6,85,PBKS_RCB_6,PBKS,Prabhsimran Singh,Ctw,Anuj R,Glenn M,25,17,2,2,1
6,86,PBKS_RCB_6,PBKS,Liam Livingstone,Ctw,Anuj R,Alzarri J,17,13,1,1,1
6,87,PBKS_RCB_6,PBKS,Sam Curran,Ctw,Anuj R,Yash D,23,17,3,0,1
6,88,PBKS_RCB_6,PBKS,Jitesh Sharma,Ctw,Anuj R,Mohammed S,27,20,1,2,1
6,89,PBKS_RCB_6,PBKS,Shashank Singh,,,,21,8,1,2,0
6,90,PBKS_RCB_6,PBKS,Harpreet Brar,,,,2,2,0,0,0
6,91,PBKS_RCB_6,RCB,Virat Kohli,Ct,Harpreet B,Harshal P,77,49,11,2,1
6,92,PBKS_RCB_6,RCB,Faf Du Plessis,Ct,Sam C,Kagiso R,3,7,0,0,1
6,93,PBKS_RCB_6,RCB,Cameron Green,Ctw,Jitesh S,Kagiso R,3,5,0,0,1
6,94,PBKS_RCB_6,RCB,Rajat Patidar,B,,Harpreet B,18,18,1,1,1
6,95,PBKS_RCB_6,RCB,Glenn Maxwell,B,,Harpreet B,3,5,0,0,1
6,96,PBKS_RCB_6,RCB,Anuj Rawat,Lbw,,Sam C,11,14,1,0,1
6,97,PBKS_RCB_6,RCB,Dinesh Karthik,,,,28,10,3,2,0
6,98,PBKS_RCB_6,RCB,Mahipal Lomror,,,,17,8,2,1,0
7,99,CSK_GT_7,CSK,Ruturaj Gaikwad,Ctw,Wriddhiman S,Spencer J,46,36,5,1,1
7,100,CSK_GT_7,CSK,Rachin Ravindra,St,Wriddhiman S,Rashid K,46,20,6,3,1
7,101,CSK_GT_7,CSK,Ajinkya Rahane,St,Wriddhiman S,Ravisrinivasan  Sai K,12,12,1,0,1
7,102,CSK_GT_7,CSK,Shivam Dube,Ct,Vijay S,Rashid K,51,23,2,5,1
7,103,CSK_GT_7,CSK,Daryl Mitchell,,,,24,20,2,0,0
7,104,CSK_GT_7,CSK,Sameer Rizvi,Ct,David M,Mohit S,14,6,0,2,1
7,105,CSK_GT_7,CSK,Ravindra Jadeja,Ro,Wriddhiman S,Vijay S,7,3,1,0,1
7,106,CSK_GT_7,GT,Wriddhiman Saha,Ct,Tushar D,Deepak C,21,17,4,0,1
7,107,CSK_GT_7,GT,Shubman Gill,Lbw,,Deepak C,8,5,0,1,1
7,108,CSK_GT_7,GT,Sai Sudharsan,Ct,Sameer R,Matheesha P,37,31,3,0,1
7,109,CSK_GT_7,GT,Vijay Shankar,Ctw,M S D,Daryl M,12,12,0,1,1
7,110,CSK_GT_7,GT,David Miller,Ct,Ajinkya R,Tushar D,21,16,3,0,1
7,111,CSK_GT_7,GT,Azmatullah Omarzai,Ct,Rachin R,Tushar D,11,10,1,0,1
7,112,CSK_GT_7,GT,Rahul Tewatia,Ct,Rachin R,Mustafizur R,6,11,1,0,1
7,113,CSK_GT_7,GT,Rashid Khan,Ct,Rachin R,Mustafizur R,1,2,0,0,1
7,114,CSK_GT_7,GT,Umesh Yadav,,,,10,11,0,1,0
7,115,CSK_GT_7,GT,Spencer Johnson,,,,5,5,1,0,0
8,116,MI_SRH_8,SRH,Mayank Agarwal,Ct,Tim D,Hardik P,11,13,1,0,1
8,117,MI_SRH_8,SRH,Travis Head,Ct,Naman D,Gerald C,62,24,9,3,1
8,118,MI_SRH_8,SRH,Abhishek Sharma,Ct,Naman D,Piyush C,63,23,3,7,1
8,119,MI_SRH_8,SRH,Aiden Markram,,,,42,28,2,1,0
8,120,MI_SRH_8,SRH,Heinrich Klaasen,,,,80,34,4,7,0
8,121,MI_SRH_8,MI,Rohit Sharma,Ct,Abhishek S,Pat C,26,12,1,3,1
8,122,MI_SRH_8,MI,Ishan Kishan,Ct,Aiden M,Shahbaz A,34,13,2,4,1
8,123,MI_SRH_8,MI,Naman Dhir,Ct,Pat C,Jaydev U,30,14,2,2,1
8,124,MI_SRH_8,MI,Tilak Varma,Ct,Mayank A,Pat C,64,34,2,6,1
8,125,MI_SRH_8,MI,Hardik Pandya,Ctw,Heinrich K,Jaydev U,24,20,1,1,1
8,126,MI_SRH_8,MI,Tim David,,,,42,22,2,3,0
8,127,MI_SRH_8,MI,Romario Shepherd,,,,15,6,2,1,0
9,128,DC_RR_9,RR,Yashasvi Jaiswal,B,,Mukesh K,5,7,1,0,1
9,129,DC_RR_9,RR,Jos Buttler,Lbw,,Kuldeep Y,11,16,0,0,1
9,130,DC_RR_9,RR,Sanju Samson,Ctw,Rishabh P,Khaleel A,15,14,3,0,1
9,131,DC_RR_9,RR,Riyan Parag,,,,84,45,7,6,0
9,132,DC_RR_9,RR,Ravichandran Ashwin,Ct,Tristan S,Axar P,29,19,0,3,1
9,133,DC_RR_9,RR,Dhruv Jurel,B,,Anrich N,20,12,3,0,1
9,134,DC_RR_9,RR,Shimron Hetmyer,,,,14,7,1,1,0
9,135,DC_RR_9,DC,David Warner,Ct,Sandeep S,Avesh K,49,34,5,3,1
9,136,DC_RR_9,DC,Mitchell Marsh,B,,Nandre B,23,12,5,0,1
9,137,DC_RR_9,DC,Ricky Bhui,Ctw,Sanju S,Nandre B,0,2,0,0,1
9,138,DC_RR_9,DC,Rishabh Pant,Ctw,Sanju S,Yuzvendra C,28,26,2,1,1
9,139,DC_RR_9,DC,Tristan Stubbs,,,,44,23,2,3,0
9,140,DC_RR_9,DC,Abishek Porel,Ct,Jos B,Yuzvendra C,9,10,0,0,1
9,141,DC_RR_9,DC,Axar Patel,,,,15,13,1,0,0
10,142,KKR_RCB_10,RCB,Virat Kohli,,,,83,59,4,4,0
10,143,KKR_RCB_10,RCB,Faf Du Plessis,Ct,Mitchell S,Harshit R,8,6,0,1,1
10,144,KKR_RCB_10,RCB,Cameron Green,B,,Andre R,33,21,4,2,1
10,145,KKR_RCB_10,RCB,Glenn Maxwell,Ct,Rinku S,Sunil N,28,19,3,1,1
10,146,KKR_RCB_10,RCB,Rajat Patidar,Ct,Rinku S,Andre R,3,4,0,0,1
10,147,KKR_RCB_10,RCB,Anuj Rawat,Ctw,Philip S,Harshit R,3,3,0,0,1
10,148,KKR_RCB_10,RCB,Dinesh Karthik,Ro,,Philip S,20,8,0,3,1
10,149,KKR_RCB_10,KKR,Philip Salt,Ct,Cameron G,Vijaykumar V,30,20,2,2,1
10,150,KKR_RCB_10,KKR,Sunil Narine,B,,Mayank D,47,22,2,5,1
10,151,KKR_RCB_10,KKR,Venkatesh Iyer,Ct,Virat K,Yash D,50,30,3,4,1
10,152,KKR_RCB_10,KKR,Shreyas Iyer,,,,39,24,2,2,0
10,153,KKR_RCB_10,KKR,Rinku Singh,,,,5,5,0,0,0
11,154,LSG_PBKS_11,LSG,Quinton De Kock,Ctw,Jitesh S,Arshdeep S,54,38,5,2,1
11,155,LSG_PBKS_11,LSG,K L Rahul,Ct,Jonny B,Arshdeep S,15,9,1,1,1
11,156,LSG_PBKS_11,LSG,Devdutt Padikkal,Ct,Shikhar D,Sam C,9,6,2,0,1
11,157,LSG_PBKS_11,LSG,Marcus Stoinis,B,,Rahul C,19,12,0,2,1
11,158,LSG_PBKS_11,LSG,Nicholas Pooran,B,,Kagiso R,42,21,3,3,1
11,159,LSG_PBKS_11,LSG,Ayush Badoni,Ct,Jonny B,Sam C,8,10,0,0,1
11,160,LSG_PBKS_11,LSG,Krunal Pandya,,,,43,22,4,2,0
11,161,LSG_PBKS_11,LSG,Ravi Bishnoi,Ct,Substitute,Sam C,0,1,0,0,1
11,162,LSG_PBKS_11,LSG,Mohsin Khan,Ro,,Harshal P,2,1,0,0,1
11,163,LSG_PBKS_11,PBKS,Shikhar Dhawan,Ctw,Quinton D,Mohsin K,70,50,7,3,1
11,164,LSG_PBKS_11,PBKS,Jonny Bairstow,Ct,Marcus S,Mayank Y,42,29,3,3,1
11,165,LSG_PBKS_11,PBKS,Prabhsimran Singh,Ct,Naveen U,Mayank Y,19,7,1,2,1
11,166,LSG_PBKS_11,PBKS,Jitesh Sharma,Ct,Naveen U,Mayank Y,6,9,1,0,1
11,167,LSG_PBKS_11,PBKS,Liam Livingstone,,,,28,17,2,2,0
11,168,LSG_PBKS_11,PBKS,Sam Curran,Ct,Nicholas P,Mohsin K,0,1,0,0,1
11,169,LSG_PBKS_11,PBKS,Shashank Singh,,,,9,7,1,0,0
12,170,GT_SRH_12,SRH,Mayank Agarwal,Ct,Darshan N,Azmatullah O,16,17,2,0,1
12,171,GT_SRH_12,SRH,Travis Head,B,,Noor A,19,14,3,0,1
12,172,GT_SRH_12,SRH,Abhishek Sharma,Ct,Shubman G,Mohit S,29,20,2,2,1
12,173,GT_SRH_12,SRH,Aiden Markram,Ct,Rashid K,Umesh Y,17,19,0,0,1
12,174,GT_SRH_12,SRH,Heinrich Klaasen,B,,Rashid K,24,13,1,2,1
12,175,GT_SRH_12,SRH,Shahbaz Ahmed,Ct,Rahul T,Mohit S,22,20,1,1,1
12,176,GT_SRH_12,SRH,Abdul Samad,Ro,Wriddhiman S,Noor A,29,14,3,1,1
12,177,GT_SRH_12,SRH,Washington Sunder,Ct,Rashid K,Mohit S,0,1,0,0,1
12,178,GT_SRH_12,SRH,Pat Cummins,,,,2,2,0,0,0
12,179,GT_SRH_12,GT,Wriddhiman Saha,Ct,Pat C,Shahbaz A,25,13,1,2,1
12,180,GT_SRH_12,GT,Shubman Gill,Ct,Abdul S,Mayank M,36,28,2,1,1
12,181,GT_SRH_12,GT,Sai Sudharsan,Ct,Abhishek S,Pat C,45,36,4,1,1
12,182,GT_SRH_12,GT,David Miller,,,,44,27,4,2,0
12,183,GT_SRH_12,GT,Vijay Shankar,,,,14,11,2,0,0
13,184,CSK_DC_13,DC,Prithvi Shaw,Ctw,M S D,Ravindra J,43,27,4,2,1
13,185,CSK_DC_13,DC,David Warner,Ct,Matheesha P,Mustafizur R,52,35,5,3,1
13,186,CSK_DC_13,DC,Rishabh Pant,Ct,Ruturaj G,Matheesha P,51,32,4,3,1
13,187,CSK_DC_13,DC,Mitchell Marsh,B,,Matheesha P,18,12,2,1,1
13,188,CSK_DC_13,DC,Tristan Stubbs,B,,Matheesha P,0,2,0,0,1
13,189,CSK_DC_13,DC,Axar Patel,,,,7,8,0,0,0
13,190,CSK_DC_13,DC,Abishek Porel,,,,9,6,1,0,0
13,191,CSK_DC_13,CSK,Ruturaj Gaikwad,Ctw,Rishabh P,Khaleel A,1,2,0,0,1
13,192,CSK_DC_13,CSK,Rachin Ravindra,Ct,Tristan S,Khaleel A,2,12,0,0,1
13,193,CSK_DC_13,CSK,Ajinkya Rahane,Ct,David W,Mukesh K,45,30,5,2,1
13,194,CSK_DC_13,CSK,Daryl Mitchell,Ct,Axar P,Axar P,34,26,1,2,1
13,195,CSK_DC_13,CSK,Shivam Dube,Ct,Tristan S,Mukesh K,18,17,1,0,1
13,196,CSK_DC_13,CSK,Sameer Rizvi,Ct,Khaleel A,Mukesh K,0,1,0,0,1
13,197,CSK_DC_13,CSK,Ravindra Jadeja,,,,21,17,2,0,0
13,198,CSK_DC_13,CSK,M S Dhoni,,,,37,16,4,3,0
14,199,MI_RR_14,MI,Ishan Kishan,Ctw,Sanju S,Nandre B,16,14,2,1,1
14,200,MI_RR_14,MI,Rohit Sharma,Ctw,Sanju S,Trent B,0,1,0,0,1
14,201,MI_RR_14,MI,Naman Dhir,Lbw,,Trent B,0,1,0,0,1
14,202,MI_RR_14,MI,Dewald Brevis,Ct,Nandre B,Trent B,0,1,0,0,1
14,203,MI_RR_14,MI,Tilak Varma,Ct,Ravichandran A,Yuzvendra C,32,29,0,2,1
14,204,MI_RR_14,MI,Hardik Pandya,Ctw,Substitute,Yuzvendra C,34,21,6,0,1
14,205,MI_RR_14,MI,Piyush Chawla,Ct,Shimron H,Avesh K,3,6,0,0,1
14,206,MI_RR_14,MI,Tim David,Ct,Trent B,Nandre B,17,24,1,0,1
14,207,MI_RR_14,MI,Gerald Coetzee,Ct,Shimron H,Yuzvendra C,4,9,0,0,1
14,208,MI_RR_14,MI,Jasprit Bumrah,,,,8,9,1,0,0
14,209,MI_RR_14,MI,Akash Madhwal,,,,4,5,0,0,0
14,210,MI_RR_14,RR,Yashasvi Jaiswal,Ct,Tim D,Kwena M,10,6,2,0,1
14,211,MI_RR_14,RR,Jos Buttler,Ct,Piyush C,Akash M,13,16,2,0,1
14,212,MI_RR_14,RR,Sanju Samson,B,,Akash M,12,10,3,0,1
14,213,MI_RR_14,RR,Riyan Parag,,,,54,39,5,3,0
14,214,MI_RR_14,RR,Ravichandran Ashwin,Ct,Tilak V,Akash M,16,16,1,0,1
14,215,MI_RR_14,RR,Shubham Dubey,,,,8,6,1,0,0
15,216,LSG_RCB_15,LSG,Quinton De Kock,Ct,Mayank D,Reece T,81,56,8,5,1
15,217,LSG_RCB_15,LSG,K L Rahul,Ct,Mayank D,Glenn M,20,14,0,2,1
15,218,LSG_RCB_15,LSG,Devdutt Padikkal,Ctw,Anuj R,Mohammed S,6,11,0,0,1
15,219,LSG_RCB_15,LSG,Marcus Stoinis,Ct,Mayank D,Glenn M,24,15,1,2,1
15,220,LSG_RCB_15,LSG,Nicholas Pooran,,,,40,21,1,5,0
15,221,LSG_RCB_15,LSG,Ayush Badoni,Ct,Faf D,Yash D,0,3,0,0,1
15,222,LSG_RCB_15,RCB,Virat Kohli,Ct,Devdutt P,Manimaran S,22,16,2,1,1
15,223,LSG_RCB_15,RCB,Faf Du Plessis,Ro,,Devdutt P,19,13,3,0,1
15,224,LSG_RCB_15,RCB,Rajat Patidar,Ct,Devdutt P,Mayank Y,29,21,2,2,1
15,225,LSG_RCB_15,RCB,Glenn Maxwell,Ct,Nicholas P,Mayank Y,0,2,0,0,1
15,226,LSG_RCB_15,RCB,Cameron Green,B,,Mayank Y,9,9,1,0,1
15,227,LSG_RCB_15,RCB,Anuj Rawat,Ct,Devdutt P,Marcus S,11,21,0,0,1
