OUT_OF_74,INDEX1,MATCH,TEAM,BatsMan,How_out,Fielder,Bowler,Runs,Balls,Fours,Sixers,OUT_NTOUT
44,673,LSG_RR_44,LSG,Deepak Hooda,Ct,Rovman P,Ravichandran A,50,31,7,0,1
44,674,LSG_RR_44,LSG,Nicholas Pooran,Ct,Trent B,Sandeep S,11,11,1,0,1
44,675,LSG_RR_44,LSG,Ayush Badoni,,,,18,13,1,0,0
44,676,LSG_RR_44,LSG,Krunal Pandya,,,,15,11,1,0,0
44,677,LSG_RR_44,RR,Yashasvi Jaiswal,Ct,Ravi B,Marcus S,24,18,3,1,1
44,678,LSG_RR_44,RR,Jos Buttler,B,,Yash T,34,18,4,1,1
44,679,LSG_RR_44,RR,Sanju Samson,,,,71,33,7,4,0
44,680,LSG_RR_44,RR,Riyan Parag,Ct,Ayush B,Amit M,14,11,0,1,1
44,681,LSG_RR_44,RR,Dhruv Jurel,,,,52,34,5,2,0
45,682,GT_RCB_45,GT,Wriddhiman Saha,Ct,Karn S,Swapnil S,5,4,1,0,1
45,683,GT_RCB_45,GT,Shubman Gill,Ct,Cameron G,Glenn M,16,19,1,0,1
45,684,GT_RCB_45,GT,Sai Sudharsan,,,,84,49,8,4,0
45,685,GT_RCB_45,GT,Shahrukh Khan,B,,Mohammed S,58,30,3,5,1
45,686,GT_RCB_45,GT,David Miller,,,,26,19,2,1,0
45,687,GT_RCB_45,RCB,Virat Kohli,,,,70,44,6,3,0
45,688,GT_RCB_45,RCB,Faf Du Plessis,Ct,Substitute,Ravisrinivasan  Sai K,24,12,1,3,1
45,689,GT_RCB_45,RCB,Will Jacks,,,,100,41,5,10,0
46,690,CSK_SRH_46,CSK,Ajinkya Rahane,Ct,Shahbaz A,Bhuvneshwar K,9,12,1,0,1
46,691,CSK_SRH_46,CSK,Ruturaj Gaikwad,Ct,Nitish R,T N,98,54,10,3,1
46,692,CSK_SRH_46,CSK,Daryl Mitchell,Ct,Nitish R,Jaydev U,52,32,7,1,1
46,693,CSK_SRH_46,CSK,Shivam Dube,,,,39,20,1,4,0
46,694,CSK_SRH_46,CSK,M S Dhoni,,,,5,2,1,0,0
46,695,CSK_SRH_46,SRH,Travis Head,Ct,Daryl M,Tushar D,13,7,1,1,1
46,696,CSK_SRH_46,SRH,Abhishek Sharma,Ct,Daryl M,Tushar D,15,9,1,1,1
46,697,CSK_SRH_46,SRH,Anmolpreet Singh,Ct,Moeen A,Tushar D,0,1,0,0,1
46,698,CSK_SRH_46,SRH,Aiden Markram,B,,Matheesha P,32,26,4,0,1
46,699,CSK_SRH_46,SRH,Nitish Reddy,Ctw,M S D,Ravindra J,15,15,0,0,1
46,700,CSK_SRH_46,SRH,Heinrich Klaasen,Ct,Daryl M,Matheesha P,20,21,0,1,1
46,701,CSK_SRH_46,SRH,Abdul Samad,Ct,Substitute,Shardul T,19,18,1,1,1
46,702,CSK_SRH_46,SRH,Shahbaz Ahmed,Ct,Daryl M,Mustafizur R,7,5,1,0,1
46,703,CSK_SRH_46,SRH,Pat Cummins,Ct,Daryl M,Tushar D,5,7,1,0,1
46,704,CSK_SRH_46,SRH,Bhuvneshwar Kumar,,,,4,3,0,0,0
46,705,CSK_SRH_46,SRH,Jaydev Unadkat,Ct,Moeen A,Mustafizur R,1,2,0,0,1
47,706,DC_KKR_47,DC,Prithvi Shaw,Ctw,Philip S,Vaibhav A,13,7,3,0,1
47,707,DC_KKR_47,DC,Jake Fraser-Mcgurk,Ct,Venkatesh I,Mitchell S,12,7,1,1,1
47,708,DC_KKR_47,DC,Abishek Porel,B,,Harshit R,18,15,2,1,1
47,709,DC_KKR_47,DC,Shai Hope,B,,Vaibhav A,6,3,0,1,1
47,710,DC_KKR_47,DC,Rishabh Pant,Ct,Shreyas I,Varun C,27,20,2,1,1
47,711,DC_KKR_47,DC,Axar Patel,B,,Sunil N,15,21,2,0,1
47,712,DC_KKR_47,DC,Tristan Stubbs,Ctw,Philip S,Varun C,4,7,0,0,1
47,713,DC_KKR_47,DC,Kumar Kushagra,Ctw,Philip S,Varun C,1,3,0,0,1
47,714,DC_KKR_47,DC,Kuldeep Yadav,,,,35,26,5,1,0
47,715,DC_KKR_47,DC,Rasikh Dar,Ct,Shreyas I,Harshit R,8,10,1,0,1
47,716,DC_KKR_47,DC,Lizaad Williams,,,,1,2,0,0,0
47,717,DC_KKR_47,KKR,Philip Salt,B,,Axar P,68,33,7,5,1
47,718,DC_KKR_47,KKR,Sunil Narine,Ct,Jake F,Axar P,15,10,3,0,1
47,719,DC_KKR_47,KKR,Rinku Singh,Ct,Kuldeep Y,Lizaad W,11,11,1,0,1
47,720,DC_KKR_47,KKR,Shreyas Iyer,,,,33,23,3,1,0
47,721,DC_KKR_47,KKR,Venkatesh Iyer,,,,26,23,2,1,0
48,722,LSG_MI_48,MI,Ishan Kishan,Ct,Mayank Y,Ravi B,32,36,3,0,1
48,723,LSG_MI_48,MI,Rohit Sharma,Ct,Marcus S,Mohsin K,4,5,1,0,1
48,724,LSG_MI_48,MI,Suryakumar Yadav,Ctw,K L R,Marcus S,10,6,0,1,1
48,725,LSG_MI_48,MI,Tilak Varma,Ro,,Ravi B,7,11,1,0,1
48,726,LSG_MI_48,MI,Hardik Pandya,Ctw,K L R,Naveen U,0,1,0,0,1
48,727,LSG_MI_48,MI,Nehal Wadhera,B,,Mohsin K,46,41,4,2,1
48,728,LSG_MI_48,MI,Tim David,,,,35,18,3,1,0
48,729,LSG_MI_48,MI,Mohammad Nabi,B,,Mayank Y,1,2,0,0,1
48,730,LSG_MI_48,MI,Gerald Coetzee,,,,1,2,0,0,0
48,731,LSG_MI_48,LSG,K L Rahul,Ct,Mohammad N,Hardik P,28,22,3,1,1
48,732,LSG_MI_48,LSG,Arshin Kulkarni,Lbw,,Nuwan T,0,1,0,0,1
48,733,LSG_MI_48,LSG,Marcus Stoinis,Ct,Tilak V,Mohammad N,62,45,7,2,1
48,734,LSG_MI_48,LSG,Deepak Hooda,Ct,Jasprit B,Hardik P,18,18,2,0,1
48,735,LSG_MI_48,LSG,Nicholas Pooran,,,,14,14,1,0,0
48,736,LSG_MI_48,LSG,Ashton Turner,B,,Gerald C,5,9,0,0,1
48,737,LSG_MI_48,LSG,Ayush Badoni,Ro,Ishan K,Substitute,6,6,1,0,1
48,738,LSG_MI_48,LSG,Krunal Pandya,,,,1,1,0,0,0
49,739,CSK_PBKS_49,CSK,Ajinkya Rahane,Ct,Rilee R,Harpreet B,29,24,5,0,1
49,740,CSK_PBKS_49,CSK,Ruturaj Gaikwad,B,,Arshdeep S,62,48,5,2,1
49,741,CSK_PBKS_49,CSK,Shivam Dube,Lbw,,Harpreet B,0,1,0,0,1
49,742,CSK_PBKS_49,CSK,Ravindra Jadeja,Lbw,,Rahul C,2,4,0,0,1
49,743,CSK_PBKS_49,CSK,Sameer Rizvi,Ct,Harshal P,Kagiso R,21,23,1,0,1
49,744,CSK_PBKS_49,CSK,Moeen Ali,B,,Rahul C,15,9,1,1,1
49,745,CSK_PBKS_49,CSK,M S Dhoni,Ro,Jitesh S,Harshal P,14,11,1,1,1
49,746,CSK_PBKS_49,CSK,Daryl Mitchell,,,,1,1,0,0,0
49,747,CSK_PBKS_49,PBKS,Prabhsimran Singh,Ct,Ruturaj G,Richard G,13,10,1,1,1
49,748,CSK_PBKS_49,PBKS,Jonny Bairstow,Ctw,M S D,Shivam D,46,30,7,1,1
49,749,CSK_PBKS_49,PBKS,Rilee Rossouw,B,,Shardul T,43,23,5,2,1
49,750,CSK_PBKS_49,PBKS,Shashank Singh,,,,25,26,1,1,0
49,751,CSK_PBKS_49,PBKS,Sam Curran,,,,26,20,3,0,0
50,752,RR_SRH_50,SRH,Travis Head,B,,Avesh K,58,44,6,3,1
50,753,RR_SRH_50,SRH,Abhishek Sharma,Ct,Dhruv J,Avesh K,12,10,0,1,1
50,754,RR_SRH_50,SRH,Anmolpreet Singh,Ct,Yashasvi J,Sandeep S,5,5,1,0,1
50,755,RR_SRH_50,SRH,Nitish Reddy,,,,76,42,3,8,0
50,756,RR_SRH_50,SRH,Heinrich Klaasen,,,,42,19,3,3,0
50,757,RR_SRH_50,RR,Yashasvi Jaiswal,B,,T N,67,40,7,2,1
50,758,RR_SRH_50,RR,Jos Buttler,Ct,Marco J,Bhuvneshwar K,0,1,0,0,1
50,759,RR_SRH_50,RR,Sanju Samson,B,,Bhuvneshwar K,0,3,0,0,1
50,760,RR_SRH_50,RR,Riyan Parag,Ct,Marco J,Pat C,77,49,8,4,1
50,761,RR_SRH_50,RR,Shimron Hetmyer,Ct,Marco J,T N,13,9,1,1,1
50,762,RR_SRH_50,RR,Rovman Powell,Lbw,,Bhuvneshwar K,27,15,3,1,1
50,763,RR_SRH_50,RR,Dhruv Jurel,Ct,Abhishek S,Pat C,1,3,0,0,1
50,764,RR_SRH_50,RR,Ravichandran Ashwin,,,,2,2,0,0,0
51,765,KKR_MI_51,KKR,Philip Salt,Ct,Tilak V,Nuwan T,5,3,1,0,1
51,766,KKR_MI_51,KKR,Sunil Narine,B,,Hardik P,8,8,0,1,1
51,767,KKR_MI_51,KKR,Angkrish Raghuvanshi,Ct,Suryakumar Y,Nuwan T,13,6,0,2,1
51,768,KKR_MI_51,KKR,Shreyas Iyer,Ct,Tim D,Nuwan T,6,4,1,0,1
51,769,KKR_MI_51,KKR,Venkatesh Iyer,B,,Jasprit B,70,52,6,3,1
51,770,KKR_MI_51,KKR,Rinku Singh,Ct,Piyush C,Piyush C,9,8,2,0,1
51,771,KKR_MI_51,KKR,Manish Pandey,Ct,Substitute,Hardik P,42,31,2,2,1
51,772,KKR_MI_51,KKR,Andre Russell,Ro,Hardik P,Nuwan T,7,2,0,1,1
51,773,KKR_MI_51,KKR,Ramandeep Singh,Ct,Gerald C,Jasprit B,2,4,0,0,1
51,774,KKR_MI_51,KKR,Mitchell Starc,B,,Jasprit B,0,2,0,0,1
51,775,KKR_MI_51,MI,Ishan Kishan,B,,Mitchell S,13,7,1,1,1
51,776,KKR_MI_51,MI,Rohit Sharma,Ct,Manish P,Sunil N,11,12,0,1,1
51,777,KKR_MI_51,MI,Naman Dhir,B,,Varun C,11,11,2,0,1
51,778,KKR_MI_51,MI,Suryakumar Yadav,Ctw,Philip S,Andre R,56,35,6,2,1
51,779,KKR_MI_51,MI,Tilak Varma,Ct,Sunil N,Varun C,4,6,0,0,1
51,780,KKR_MI_51,MI,Nehal Wadhera,B,,Sunil N,6,11,1,0,1
51,781,KKR_MI_51,MI,Hardik Pandya,Ct,Manish P,Andre R,1,3,0,0,1
51,782,KKR_MI_51,MI,Tim David,Ct,Shreyas I,Mitchell S,24,20,1,1,1
51,783,KKR_MI_51,MI,Gerald Coetzee,B,,Mitchell S,8,7,0,1,1
51,784,KKR_MI_51,MI,Piyush Chawla,Ct,Sunil N,Mitchell S,0,1,0,0,1
51,785,KKR_MI_51,MI,Jasprit Bumrah,,,,1,1,0,0,0
52,786,GT_RCB_52,GT,Wriddhiman Saha,Ctw,Dinesh K,Mohammed S,1,7,0,0,1
52,787,GT_RCB_52,GT,Shubman Gill,Ct,Vijaykumar V,Mohammed S,2,7,0,0,1
52,788,GT_RCB_52,GT,Sai Sudharsan,Ct,Virat K,Cameron G,6,14,0,0,1
52,789,GT_RCB_52,GT,Shahrukh Khan,Ro,,Virat K,37,24,5,1,1
52,790,GT_RCB_52,GT,David Miller,Ct,Glenn M,Karn S,30,20,3,2,1
52,791,GT_RCB_52,GT,Rahul Tewatia,Ct,Vijaykumar V,Yash D,35,21,5,1,1
52,792,GT_RCB_52,GT,Rashid Khan,B,,Yash D,18,14,2,1,1
52,793,GT_RCB_52,GT,Vijay Shankar,Ct,Mohammed S,Vijaykumar V,10,7,2,0,1
52,794,GT_RCB_52,GT,Manav Suthar,Ct,Swapnil S,Vijaykumar V,1,2,0,0,1
52,795,GT_RCB_52,GT,Mohit Sharma,Ro,Vijaykumar V,Dinesh K,0,1,0,0,1
52,796,GT_RCB_52,RCB,Virat Kohli,Ctw,Wriddhiman S,Noor A,42,27,2,4,1
52,797,GT_RCB_52,RCB,Faf Du Plessis,Ct,Shahrukh K,Joshua L,64,23,10,3,1
52,798,GT_RCB_52,RCB,Will Jacks,Ct,Shahrukh K,Noor A,1,3,0,0,1
52,799,GT_RCB_52,RCB,Rajat Patidar,Ct,David M,Joshua L,2,3,0,0,1
52,800,GT_RCB_52,RCB,Glenn Maxwell,Ct,David M,Joshua L,4,3,1,0,1
52,801,GT_RCB_52,RCB,Cameron Green,Ct,Shahrukh K,Joshua L,1,2,0,0,1
52,802,GT_RCB_52,RCB,Dinesh Karthik,,,,21,12,3,0,0
52,803,GT_RCB_52,RCB,Swapnil Singh,,,,15,9,2,1,0
53,804,CSK_PBKS_53,CSK,Ajinkya Rahane,Ct,Kagiso R,Arshdeep S,9,7,1,0,1
53,805,CSK_PBKS_53,CSK,Ruturaj Gaikwad,Ctw,Jitesh S,Rahul C,32,21,4,1,1
53,806,CSK_PBKS_53,CSK,Daryl Mitchell,Lbw,,Harshal P,30,19,2,1,1
53,807,CSK_PBKS_53,CSK,Shivam Dube,Ctw,Jitesh S,Rahul C,0,1,0,0,1
53,808,CSK_PBKS_53,CSK,Moeen Ali,Ct,Jonny B,Sam C,17,20,2,0,1
53,809,CSK_PBKS_53,CSK,Ravindra Jadeja,Ct,Sam C,Arshdeep S,43,26,3,2,1
53,810,CSK_PBKS_53,CSK,Mitchell Santner,Ct,Sam C,Rahul C,11,11,1,0,1
53,811,CSK_PBKS_53,CSK,Shardul Thakur,B,,Harshal P,17,11,2,1,1
53,812,CSK_PBKS_53,CSK,M S Dhoni,B,,Harshal P,0,1,0,0,1
53,813,CSK_PBKS_53,CSK,Tushar Deshpande,,,,0,1,0,0,0
53,814,CSK_PBKS_53,CSK,Richard Gleeson,,,,2,2,0,0,0
53,815,CSK_PBKS_53,PBKS,Prabhsimran Singh,Ct,Substitute,Ravindra J,30,23,2,2,1
53,816,CSK_PBKS_53,PBKS,Jonny Bairstow,B,,Tushar D,7,6,1,0,1
53,817,CSK_PBKS_53,PBKS,Rilee Rossouw,B,,Tushar D,0,3,0,0,1
53,818,CSK_PBKS_53,PBKS,Shashank Singh,Ct,Simarjeet S,Mitchell S,27,20,4,0,1
53,819,CSK_PBKS_53,PBKS,Sam Curran,Ct,Mitchell S,Ravindra J,7,11,0,0,1
53,820,CSK_PBKS_53,PBKS,Jitesh Sharma,Ctw,M S D,Simarjeet S,0,1,0,0,1
53,821,CSK_PBKS_53,PBKS,Ashutosh Sharma,Ct,Simarjeet S,Ravindra J,3,10,0,0,1
53,822,CSK_PBKS_53,PBKS,Harpreet Brar,,,,17,13,2,0,0
53,823,CSK_PBKS_53,PBKS,Harshal Patel,Ct,Substitute,Simarjeet S,12,13,1,1,1
53,824,CSK_PBKS_53,PBKS,Rahul Chahar,B,,Shardul T,16,10,2,1,1
53,825,CSK_PBKS_53,PBKS,Kagiso Rabada,,,,11,10,0,1,0
54,826,LSG_KKR_54,KKR,Philip Salt,Ctw,K L R,Naveen U,32,14,5,1,1
54,827,LSG_KKR_54,KKR,Sunil Narine,Ct,Substitute,Ravi B,81,39,6,7,1
54,828,LSG_KKR_54,KKR,Angkrish Raghuvanshi,Ctw,K L R,Yudhvir C,32,26,3,1,1
54,829,LSG_KKR_54,KKR,Andre Russell,Ct,Substitute,Naveen U,12,8,1,1,1
54,830,LSG_KKR_54,KKR,Rinku Singh,Ct,Marcus S,Naveen U,16,11,2,0,1
54,831,LSG_KKR_54,KKR,Shreyas Iyer,Ctw,K L R,Yash T,23,15,3,0,1
54,832,LSG_KKR_54,KKR,Ramandeep Singh,,,,25,6,1,3,0
54,833,LSG_KKR_54,KKR,Venkatesh Iyer,,,,1,1,0,0,0
54,834,LSG_KKR_54,LSG,K L Rahul,Ct,Ramandeep S,Harshit R,25,21,3,0,1
54,835,LSG_KKR_54,LSG,Arshin Kulkarni,Ct,Ramandeep S,Mitchell S,9,7,2,0,1
54,836,LSG_KKR_54,LSG,Marcus Stoinis,Ct,Harshit R,Andre R,36,21,4,2,1
54,837,LSG_KKR_54,LSG,Deepak Hooda,Lbw,,Varun C,5,3,1,0,1
54,838,LSG_KKR_54,LSG,Nicholas Pooran,Ctw,Philip S,Andre R,10,8,0,1,1
54,839,LSG_KKR_54,LSG,Ayush Badoni,Ct,Mitchell S,Sunil N,15,12,0,1,1
54,840,LSG_KKR_54,LSG,Ashton Turner,Ct,Varun C,Varun C,16,9,0,2,1
54,841,LSG_KKR_54,LSG,Krunal Pandya,Ctw,Philip S,Harshit R,5,6,0,0,1
54,842,LSG_KKR_54,LSG,Yudhvir Charak,Ct,Andre R,Varun C,7,7,0,1,1
54,843,LSG_KKR_54,LSG,Ravi Bishnoi,Lbw,,Harshit R,2,3,0,0,1
55,844,MI_SRH_55,SRH,Travis Head,Ct,Tilak V,Piyush C,48,30,7,1,1
55,845,MI_SRH_55,SRH,Abhishek Sharma,Ctw,Ishan K,Jasprit B,11,16,0,1,1
55,846,MI_SRH_55,SRH,Mayank Agarwal,B,,Anshul K,5,6,1,0,1
55,847,MI_SRH_55,SRH,Nitish Reddy,Ct,Anshul K,Hardik P,20,15,2,0,1
55,848,MI_SRH_55,SRH,Heinrich Klaasen,B,,Piyush C,2,4,0,0,1
55,849,MI_SRH_55,SRH,Marco Jansen,B,,Hardik P,17,12,1,1,1
55,850,MI_SRH_55,SRH,Shahbaz Ahmed,Ct,Suryakumar Y,Hardik P,10,12,0,0,1
55,851,MI_SRH_55,SRH,Abdul Samad,Lbw,,Piyush C,3,4,0,0,1
55,852,MI_SRH_55,SRH,Pat Cummins,,,,35,17,2,2,0
55,853,MI_SRH_55,SRH,Sanvir Singh,,,,8,7,0,0,0
55,854,MI_SRH_55,MI,Ishan Kishan,Ct,Mayank A,Marco J,9,7,2,0,1
55,855,MI_SRH_55,MI,Rohit Sharma,Ctw,Heinrich K,Pat C,4,5,1,0,1
55,856,MI_SRH_55,MI,Naman Dhir,Ct,Marco J,Bhuvneshwar K,0,9,0,0,1
55,857,MI_SRH_55,MI,Suryakumar Yadav,,,,102,51,12,6,0
55,858,MI_SRH_55,MI,Tilak Varma,,,,37,32,6,0,0
56,859,DC_RR_56,DC,Jake Fraser-Mcgurk,Ct,Donovan F,Ravichandran A,50,20,7,3,1
56,860,DC_RR_56,DC,Abishek Porel,Ct,Sandeep S,Ravichandran A,65,36,7,3,1
56,861,DC_RR_56,DC,Shai Hope,Ro,,Sandeep S,1,1,0,0,1
56,862,DC_RR_56,DC,Axar Patel,Ct,Riyan P,Ravichandran A,15,10,1,1,1
56,863,DC_RR_56,DC,Rishabh Pant,Ct,Trent B,Yuzvendra C,15,13,0,1,1
56,864,DC_RR_56,DC,Tristan Stubbs,Lbw,,Sandeep S,41,20,3,3,1
56,865,DC_RR_56,DC,Gulbadin Naib,Ct,Ravichandran A,Trent B,19,15,1,1,1
56,866,DC_RR_56,DC,Rasikh Dar,Ro,Sanju S,Shubham D,9,3,2,0,1
56,867,DC_RR_56,DC,Kuldeep Yadav,,,,5,2,1,0,0
56,868,DC_RR_56,RR,Yashasvi Jaiswal,Ct,Axar P,Khaleel A,4,2,1,0,1
56,869,DC_RR_56,RR,Jos Buttler,B,,Axar P,19,17,2,1,1
56,870,DC_RR_56,RR,Sanju Samson,Ct,Shai H,Mukesh K,86,46,8,6,1
56,871,DC_RR_56,RR,Riyan Parag,B,,Rasikh D,27,22,1,3,1
56,872,DC_RR_56,RR,Shubham Dubey,Ct,Tristan S,Khaleel A,25,12,2,2,1
56,873,DC_RR_56,RR,Rovman Powell,B,,Mukesh K,13,10,1,1,1
56,874,DC_RR_56,RR,Donovan Ferreira,Lbw,,Kuldeep Y,1,3,0,0,1
56,875,DC_RR_56,RR,Ravichandran Ashwin,Ct,Shai H,Kuldeep Y,2,3,0,0,1
56,876,DC_RR_56,RR,Trent Boult,,,,2,3,0,0,0
56,877,DC_RR_56,RR,Avesh Khan,,,,7,3,1,0,0
57,878,LSG_SRH_57,LSG,K L Rahul,Ct,T N,Pat C,29,33,1,1,1
57,879,LSG_SRH_57,LSG,Quinton De Kock,Ct,Nitish R,Bhuvneshwar K,2,5,0,0,1
57,880,LSG_SRH_57,LSG,Marcus Stoinis,Ct,Sanvir S,Bhuvneshwar K,3,5,0,0,1
57,881,LSG_SRH_57,LSG,Krunal Pandya,Ro,,Pat C,24,21,0,2,1
57,882,LSG_SRH_57,LSG,Nicholas Pooran,,,,48,26,6,1,0
57,883,LSG_SRH_57,LSG,Ayush Badoni,,,,55,30,9,0,0
57,884,LSG_SRH_57,SRH,Abhishek Sharma,,,,75,28,8,6,0
57,885,LSG_SRH_57,SRH,Travis Head,,,,89,30,8,8,0
58,886,PBKS_RCB_58,RCB,Virat Kohli,Ct,Rilee R,Arshdeep S,92,47,7,6,1
58,887,PBKS_RCB_58,RCB,Faf Du Plessis,Ct,Shashank S,Vidhwath K,9,7,2,0,1
58,888,PBKS_RCB_58,RCB,Will Jacks,Ct,Harshal P,Vidhwath K,12,7,1,1,1
58,889,PBKS_RCB_58,RCB,Rajat Patidar,Ctw,Jonny B,Sam C,55,23,3,6,1
58,890,PBKS_RCB_58,RCB,Cameron Green,Ct,Sam C,Harshal P,46,27,5,1,1
58,891,PBKS_RCB_58,RCB,Dinesh Karthik,Ct,Sam C,Harshal P,18,7,1,2,1
58,892,PBKS_RCB_58,RCB,Mahipal Lomror,B,,Harshal P,0,2,0,0,1
58,893,PBKS_RCB_58,RCB,Swapnil Singh,,,,1,1,0,0,0
58,894,PBKS_RCB_58,PBKS,Prabhsimran Singh,Lbw,,Swapnil S,6,4,1,0,1
58,895,PBKS_RCB_58,PBKS,Jonny Bairstow,Ct,Faf D,Lockie F,27,16,4,1,1
58,896,PBKS_RCB_58,PBKS,Rilee Rossouw,Ct,Will J,Karn S,61,27,9,3,1
